INF_ID,COL_ENG_NM,COL_KOR_NM,COL_EXP
OA-19766,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19766,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19766,SERVICE,서비스명,LOCALDATA_103701_YC
OA-19766,START_INDEX,요청시작위치,정수입력
OA-19766,END_INDEX,요청종료위치,정수입력
OA-19887,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19887,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19887,SERVICE,서비스명,LOCALDATA_114301_NW
OA-19887,START_INDEX,요청시작위치,정수입력
OA-19887,END_INDEX,요청종료위치,정수입력
OA-16055,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-16055,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-16055,SERVICE,서비스명,LOCALDATA_031304
OA-16055,START_INDEX,요청시작위치,정수입력
OA-16055,END_INDEX,요청종료위치,정수입력
OA-15634,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-15634,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-15634,SERVICE,서비스명,ViewBcgImpFacil
OA-15634,START_INDEX,요청시작위치,정수입력
OA-15634,END_INDEX,요청종료위치,정수입력
OA-16860,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-16860,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-16860,SERVICE,서비스명,LOCALDATA_030601_YD
OA-16860,START_INDEX,요청시작위치,정수입력
OA-16860,END_INDEX,요청종료위치,정수입력
OA-2482,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-2482,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-2482,SERVICE,서비스명,ListNewsNotice
